dataset,level,layer,head,n,mean,ci_lower,ci_upper,significant
PenDigits,head,1,2,70,0.019693075302659832,0.012287622442891699,0.03277666393490163,True
PenDigits,head,1,3,70,0.014266003728542793,0.008392406795101833,0.02680621866391505,True
PenDigits,head,1,4,70,0.017266760123155627,0.00935278188588323,0.03561501482421653,True
PenDigits,head,1,5,70,0.01886463389491837,0.010790846984972055,0.03303314004777983,True
PenDigits,head,1,6,70,0.015801275652380094,0.009621446494639266,0.02483258857434289,True
PenDigits,head,1,7,70,0.02509577908068812,0.014557424467157543,0.04122251572350373,True
PenDigits,head,2,0,70,0.011579253264088558,0.006250757831424121,0.019832489156699468,True
PenDigits,head,2,1,70,0.010412034102955658,0.006105004033205147,0.016904407312455915,True
PenDigits,head,2,2,70,0.010953395636378056,0.006664234762696238,0.017502932800573467,True
PenDigits,head,2,3,70,0.010259558078411958,0.006550762019863024,0.01765271321400777,True
PenDigits,head,2,4,70,0.009135375489963085,0.005289165511204336,0.016742400454399196,True
PenDigits,head,2,5,70,0.007960529344433911,0.004756079979196798,0.013665830301242975,True
PenDigits,head,2,6,70,0.012658186394634998,0.007579759051044282,0.020646016164926725,True
PenDigits,head,2,7,70,0.014749816870140162,0.009112129352528182,0.02377241929386457,True
PenDigits,layer,0,-1,70,0.025607124359547536,0.01609308044895063,0.03836376491574657,True
PenDigits,layer,1,-1,70,0.01968184315225504,0.011838323771800717,0.03093378875663617,True
PenDigits,layer,2,-1,70,0.010963518647625799,0.0068850981524202414,0.017295769894833217,True
PenDigits,dataset,-1,-1,1680,0.018750828719809456,0.016705264431283753,0.021046915039412886,True
LSST,head,0,0,74,-0.0106472706240977,-0.057767837412648175,0.0016978982567297685,False
LSST,head,0,1,74,-0.012677877846054992,-0.043790341762641606,-0.000683042374617367,True
LSST,head,0,2,74,-0.006754591089823401,-0.04155443892328018,0.00282304652741268,False
LSST,head,0,3,74,0.013468259882813362,-0.0104519530152132,0.038911148503000065,False
LSST,head,0,4,74,0.014119838733665098,0.0014331352601854523,0.030400586526136936,True
LSST,head,0,5,74,-0.011788289420952966,-0.07643849502821784,0.0022175673022432722,False
LSST,head,0,6,74,-0.009200488516804514,-0.06323585593522695,0.008054682891962274,False
LSST,head,0,7,74,-0.013571850277209089,-0.07706748195434678,-3.4432321807959e-05,True
LSST,head,1,0,74,0.00032963402207440294,-0.000607209273657658,0.0030529933625949336,False
LSST,head,1,1,74,-0.0001050698374121123,-0.0008565367835497343,0.0009635242407336699,False
LSST,head,1,2,74,0.0009446614229564039,0.0003435524217592614,0.0023878850286828367,True
LSST,head,1,3,74,-3.549385475696696e-05,-0.0006025376389479944,0.0007827306804053492,False
LSST,head,1,4,74,-0.00013163663669078072,-0.0009328468147700193,0.0008191822917445179,False
LSST,head,1,5,74,-0.0009235036002772555,-0.0024756617507071814,-0.0002464524003997849,True
LSST,head,1,6,74,0.0010305644246648494,-0.0001640474808796239,0.003960414504166763,False
LSST,head,1,7,74,-0.0006998411283422826,-0.002329631905135279,1.481491307519191e-05,False
LSST,head,2,0,74,-0.0017040540450985614,-0.005277038092947614,-5.018195256311335e-05,True
LSST,head,2,1,74,-0.002026399813259115,-0.005228371498866419,-0.0005720577155887502,True
LSST,head,2,2,74,0.00015818777036850654,-0.000757611979976785,0.0026410394830771035,False
LSST,head,2,3,74,-0.0005194530741171779,-0.0017062723524609146,0.0005590528880993097,False
LSST,head,2,4,74,-0.000398911015393055,-0.0016169809244784069,0.0007888493369941239,False
LSST,head,2,5,74,-0.001771300430150817,-0.005840747728039034,-0.00013511634750034944,True
LSST,head,2,6,74,-0.00026395965834052454,-0.0014985120358960314,0.0011546794793807942,False
LSST,head,2,7,74,-0.00036670643681232845,-0.0014645165600220727,0.0005983783221752133,False
LSST,layer,0,-1,74,-0.004631533644808025,-0.04220469438576998,0.007412416690349454,False
LSST,layer,1,-1,74,5.116435152703227e-05,-0.0005746145202523446,0.001211804259517408,False
LSST,layer,2,-1,74,-0.0008615745878503841,-0.002486196563582809,0.0002335542172175796,False
LSST,dataset,-1,-1,1776,-0.0018139812937104588,-0.005094252649859337,0.0003451862885671679,False
