dataset,layer,head,mean_delta_p,std_delta_p,n,t_statistic,p_value_raw,p_value_fdr,significant_raw,significant_fdr
LSST,0,4,0.014119838733665098,0.06286847360435131,74,1.918926102499875,0.058903355926770755,0.08315767895544106,False,False
LSST,0,5,-0.011788289420952966,0.1136512795750175,74,-0.8862125383905398,0.3784131612135374,0.43944754205443054,False,False
LSST,0,6,-0.009200488516804514,0.12062237672923674,74,-0.6516950708307114,0.5166444520232707,0.5706608093803769,False,False
LSST,0,7,-0.013571850277209089,0.11024007646386313,74,-1.05186737272787,0.2963299061354097,0.36162293630083897,False,False
LSST,1,0,0.00032963402207440294,0.006536915673545557,74,0.43084452360086767,0.6678509388549829,0.7176905611575936,False,False
LSST,1,1,-0.0001050698374121123,0.003921840838407847,74,-0.2289019675600702,0.819585174187511,0.8410950813391405,False,False
LSST,1,2,0.0009446614229564039,0.0038373569328464664,74,2.103320300155001,0.03888432636319651,0.05832648954479477,True,False
LSST,1,3,-3.549385475696696e-05,0.0029204345434872187,74,-0.10384058381160201,0.9175806188988382,0.9175806188988384,False,False
LSST,1,4,-0.00013163663669078072,0.0037849915267930694,74,-0.29714833149440834,0.7671971765633328,0.8005535755443471,False,False
LSST,1,5,-0.0009235036002772555,0.004183423814321072,74,-1.886114955069077,0.06325743668141053,0.08758722002041457,False,False
LSST,1,6,0.0010305644246648494,0.007708257011830316,74,1.1423005603748944,0.2570619652155576,0.32470985079859904,False,False
LSST,1,7,-0.0006998411283422826,0.004532099094363194,74,-1.3193544750865345,0.191173883598339,0.24579499319786444,False,False
LSST,2,0,-0.0017040540450985614,0.010069780496443649,74,-1.4458551652330025,0.15249757702921687,0.20333010270562252,False,False
LSST,2,1,-0.002026399813259115,0.008879950037689797,74,-1.949737050378823,0.055048581537974976,0.07926995741468397,False,False
LSST,2,2,0.00015818777036850654,0.0062506133842180145,74,0.21622788347531696,0.8294132052094302,0.8410950813391405,False,False
LSST,2,3,-0.0005194530741171779,0.00497043128243278,74,-0.8929223157072981,0.37483294689184454,0.43944754205443054,False,False
LSST,2,4,-0.000398911015393055,0.005311713425508232,74,-0.6416568320872037,0.5231057419320122,0.5706608093803769,False,False
LSST,2,5,-0.001771300430150817,0.010311946848408478,74,-1.4676178738864312,0.14650353727952942,0.19902367328539844,False,False
LSST,2,6,-0.00026395965834052454,0.005782030695128519,74,-0.39004848441470424,0.697636464643833,0.738673903740529,False,False
LSST,2,7,-0.00036670643681232845,0.004446156468448502,74,-0.7046853145611177,0.4832483158817016,0.5436543553669143,False,False
